"y"	"x1"	"c.x2"
3.40782737740526	6.81085810374252	1
4.6550038187851	5.97084153618732	1
7.12190925016647	7.84425700164008	-1
4.90884628535274	7.71252383596596	-1
5.19486281988995	6.7228181707756	-1
4.62614941728257	3.84799307422408	-1
5.09442961473638	7.14167919699832	-1
5.6698858872754	7.70487633271827	-1
5.27877795701112	6.20190035881184	-1
4.65715636616547	7.30828555949518	-1
7.4138383475075	7.38996225288045	-1
-0.451585486666134	7.01442987083797	-1
8.99609243443788	7.61823412985075	1
5.41054023900543	4.75562274208178	-1
5.13634066741082	7.75012878117755	-1
3.49695329399279	5.31865626696638	1
5.79307093482159	6.3501544292972	1
7.87572191871307	4.15882871195623	-1
4.85888862860674	5.35460054291597	-1
5.2113613058744	6.85407726300561	-1
3.45784127397892	5.91159473555128	-1
5.22723727853791	5.59233392995654	-1
6.79905361958885	6.52527006259932	-1
5.18550101492605	8.3341402373783	-1
3.46009593747515	5.97033849337299	-1
2.44087311055023	6.14112464630527	-1
8.36303984551272	6.13521150228352	1
5.12244681583886	4.32993882033317	-1
7.63420632110892	6.38733809426308	-1
7.01938296717034	7.04073820282239	1
5.46933795150809	5.57497878251147	1
6.77622330217929	6.42731463060013	-1
4.37041167556174	7.16409301395997	1
5.07550710074709	4.28130691334565	-1
4.38686654897296	5.20821580920556	1
2.9586229822002	4.80895971365245	1
3.99735908760382	5.53182416993723	-1
8.76459485593609	6.2822068723927	-1
5.48861146886195	6.40968563019786	-1
3.38052550928872	6.61259891515065	-1
2.48578155718797	4.85150637104733	-1
6.42554613052531	7.83529936033168	-1
5.31355268519352	7.62551093641201	-1
6.50496832406177	7.22460818372492	-1
3.54902592019899	8.01184977040471	-1
7.61110503704349	6.39404010683906	-1
5.65582872629152	8.32052016301439	1
4.72595348204873	6.39853960140818	-1
6.29649410606449	7.03403950930038	-1
3.41692166034724	6.47612094718707	1
8.76699266908556	4.80178243315485	-1
2.37166413491337	6.21042081795248	-1
2.83311681229533	1.68909530804607	1
5.59216214981246	3.60246916136224	-1
5.17460266015486	5.11091491962574	-1
2.14413635119612	7.38433756451524	-1
4.54067705668176	6.31801493635271	1
5.50335004502383	7.06561632560286	-1
6.00083891138524	6.74168886025952	-1
4.65202167509699	7.14988957196247	1
2.67661692549151	6.36008945356916	-1
6.34134123141857	6.1710201964585	-1
2.39331247610542	6.04110350758359	-1
